tps,latency,quantile
1000.0726365417025,160.43297991529423,p50
1000.0726365417025,193.98377084601648,p90
1000.0726365417025,207.93522458781044,p95
1000.0726365417025,236.09505379223293,p99
1498.9554015445824,137.03760127033848,p50
1498.9554015445824,167.40759954086178,p90
1498.9554015445824,182.6847360548791,p95
1498.9554015445824,210.81662258203576,p99
2000.263042059348,120.18335650637624,p50
2000.263042059348,154.48393659585696,p90
2000.263042059348,168.05317377945585,p95
2000.263042059348,192.90392578654192,p99
2498.445674335696,164.1101736987313,p50
2498.445674335696,190.37139345358563,p90
2498.445674335696,208.70035485016078,p95
2498.445674335696,234.09130484628565,p99
5002.355827533346,107.674188711675,p50
5002.355827533346,135.0010039814199,p90
5002.355827533346,149.95830722716357,p95
5002.355827533346,182.03884405110466,p99
9998.493438447405,190.04893864196853,p50
9998.493438447405,218.4280402004676,p90
9998.493438447405,233.46448098077056,p95
9998.493438447405,305.63107872288924,p99
15001.161820236504,157.6604267048736,p50
15001.161820236504,191.71835502926066,p90
15001.161820236504,206.05523554753879,p95
15001.161820236504,238.3240609242573,p99
20001.060332067285,180.4574517054382,p50
20001.060332067285,210.85594861697697,p90
20001.060332067285,226.34142254453758,p95
20001.060332067285,354.1065366505984,p99
24999.963660843965,177.38217125028535,p50
24999.963660843965,234.30933344438125,p90
24999.963660843965,248.26517740910214,p95
24999.963660843965,278.1782363965801,p99
29998.512488320095,255.49994033722248,p50
29998.512488320095,285.43274802302767,p90
29998.512488320095,298.95541321172414,p95
29998.512488320095,331.9845303527778,p99
34998.23127453232,222.24418018114164,p50
34998.23127453232,248.6855301953178,p90
34998.23127453232,261.44124155422617,p95
34998.23127453232,295.4497847676418,p99
39999.74536641915,328.396323711869,p50
39999.74536641915,365.3621863596684,p90
39999.74536641915,380.6220483508105,p95
39999.74536641915,507.27008361056266,p99
45000.47683693962,1293.9171149266497,p50
45000.47683693962,1425.1850079443461,p90
45000.47683693962,1442.091302536064,p95
45000.47683693962,1577.1064134864491,p99
50205.530171376755,2577.5703414030218,p50
50205.530171376755,2701.2312483044934,p90
50205.530171376755,2716.4368609937246,p95
50205.530171376755,2840.3046704492103,p99
